sentence,label,source,length,clean_sentence,clean_length,preprocessed
"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  ",0,imdb,33,worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings,18,worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,yelp,19,lobster bisque bussell sprouts risotto filet needed salt pepperand course none tables,12,lobster bisque bussell sprouts risotto filet needed salt pepperand course none tables
"Great price, too!",1,amazon,3,great price,2,great price
I gave it a 10  ,1,imdb,5,gave 10,2,gave 10
I have two more years left in this contract and I hate this phone.,0,amazon,14,two years left contract hate phone,6,two years left contract hate phone
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,yelp,18,maybe vegetarian fare ive twice thought average best,8,maybe vegetarian fare ive twice thought average best
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,amazon,22,product great makes working lot easier go copier waiting hold something,11,product great makes working lot easier go copier waiting hold something
I consider this theft.,0,yelp,4,consider theft,2,consider theft
I don't have to be an accountant to know I'm getting screwed!,0,yelp,12,dont accountant know im getting screwed,6,dont accountant know im getting screwed
I was able to do voice dialing in the car with no problem.,1,amazon,13,able voice dialing car problem,5,able voice dialing car problem
Everything about this movie is stupid.  ,0,imdb,6,everything movie stupid,3,everything movie stupid
At no point in the proceedings does it look remotely like America.  ,0,imdb,12,point proceedings look remotely like america,6,point proceedings look remotely like america
"Our waiter was very attentive, friendly, and informative.",1,yelp,8,waiter attentive friendly informative,4,waiter attentive friendly informative
You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1,imdb,34,share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,17,share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor
Very easy to use.,1,amazon,4,easy use,2,easy use
There's barely a boring moment in the film and there are plenty of humorous parts.  ,1,imdb,15,theres barely boring moment film plenty humorous parts,8,theres barely boring moment film plenty humorous parts
Bad Purchase.,0,amazon,2,bad purchase,2,bad purchase
poor voice clarity.,0,amazon,3,poor voice clarity,3,poor voice clarity
It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1,imdb,16,presents idyllic yet serious portrayal ups downs characters lives,9,presents idyllic yet serious portrayal ups downs characters lives
I am going to have to be the first to negatively review this product.,0,amazon,14,going first negatively review product,5,going first negatively review product
Food was so gooodd.,1,yelp,4,food gooodd,2,food gooodd
They made this case too small and is very difficult to install.,0,amazon,12,made case small difficult install,5,made case small difficult install
Great charger.,1,amazon,2,great charger,2,great charger
Can't store anything but phone numbers to SIM.,0,amazon,8,cant store anything phone numbers sim,6,cant store anything phone numbers sim
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,amazon,8,blueant supertooth handsfree phone speaker awesome,6,blueant supertooth handsfree phone speaker awesome
The attractive set used throughout most of the film is an eye-pleasing gem.  ,1,imdb,13,attractive set used throughout film eyepleasing gem,7,attractive set used throughout film eyepleasing gem
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0,imdb,33,real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen,14,real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen
Service was exceptional and food was a good as all the reviews.,1,yelp,12,service exceptional food good reviews,5,service exceptional food good reviews
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,amazon,23,warranty problems reoccurebottom line put money somewhere else cingular support,10,warranty problems reoccurebottom line put money somewhere else cingular support
Started watching this but didn't believe in any of the characters.  ,0,imdb,11,started watching didnt believe characters,5,started watching didnt believe characters
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,yelp,18,refried beans came meal dried crusty food bland,8,refried beans came meal dried crusty food bland
Better than you'd expect.,1,amazon,4,better youd expect,3,better youd expect
I love this thing!,1,amazon,4,love thing,2,love thing
I guess maybe we went on an off night but it was disgraceful.,0,yelp,13,guess maybe went night disgraceful,5,guess maybe went night disgraceful
Join the club and get awesome offers via email.,1,yelp,9,join club get awesome offers via email,7,join club get awesome offers via email
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amazon,25,range decent ive able roam around house phone living room receptionsound quality issues,13,range decent ive able roam around house phone living room receptionsound quality issues
I recently tried Caballero's and I have been back every week since!,1,yelp,12,recently tried caballeros back every week since,7,recently tried caballeros back every week since
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,amazon,23,despite flaws case exceptional quality well worth additional costs owning official oem product,13,despite flaws case exceptional quality well worth additional costs owning official oem product
I checked out this place a couple years ago and was not impressed.,0,yelp,13,checked place couple years ago impressed,6,checked place couple years ago impressed
This pair of headphones is the worst that I have ever had sound-wise.,0,amazon,13,pair headphones worst ever soundwise,5,pair headphones worst ever soundwise
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,yelp,25,love authentic mexican food want whole bunch interesting yet delicious meats choose need try place,15,love authentic mexican food want whole bunch interesting yet delicious meats choose need try place
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0,imdb,43,30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words,29,30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words
My gyro was basically lettuce only.,0,yelp,6,gyro basically lettuce,3,gyro basically lettuce
The black eyed peas and sweet potatoes... UNREAL!,1,yelp,8,black eyed peas sweet potatoes unreal,6,black eyed peas sweet potatoes unreal
Wasted two hours.  ,0,imdb,3,wasted two hours,3,wasted two hours
Nice headset priced right.,1,amazon,4,nice headset priced right,4,nice headset priced right
Now this dish was quite flavourful.,1,yelp,6,dish quite flavourful,3,dish quite flavourful
Battery is holding up well.,1,amazon,5,battery holding well,3,battery holding well
2 times - Very Bad Customer Service !,0,yelp,8,2 times bad customer service,5,2 times bad customer service
And the beans and rice were mediocre at best.,0,yelp,9,beans rice mediocre best,4,beans rice mediocre best
"This item worked great, but it broke after 6 months of use.",0,amazon,12,item worked great broke 6 months use,7,item worked great broke 6 months use
You'll love how thin it is.,1,amazon,6,youll love thin,3,youll love thin
It worked very well.,1,amazon,4,worked well,2,worked well
Painful on the ear.,0,amazon,4,painful ear,2,painful ear
"Again, lame.  ",0,imdb,2,lame,1,lame
"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0,imdb,17,top line dont waste time money one bad comes,9,top line dont waste time money one bad comes
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,yelp,19,chicken deliciously seasoned perfect fry outside moist chicken inside,9,chicken deliciously seasoned perfect fry outside moist chicken inside
Battery lasts only a few hours.,0,amazon,6,battery lasts hours,3,battery lasts hours
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,amazon,26,however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls,15,however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls
"I'm so happy to be here!!!""",1,yelp,6,im happy,2,im happy
"Just really good.. So far, probably the best BT headset I have ever had.",1,amazon,14,really good far probably best bt headset ever,8,really good far probably best bt headset ever
;) Recommend with confidence!  ,1,imdb,4,recommend confidence,2,recommend confidence
Our server was very nice and attentive as were the other serving staff.,1,yelp,13,server nice attentive serving staff,5,server nice attentive serving staff
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1,imdb,21,popular cinema good house good reactions plenty laughs,8,popular cinema good house good reactions plenty laughs
I've missed numerous calls because of this reason.,0,amazon,8,ive missed numerous calls reason,5,ive missed numerous calls reason
I'm probably one of the few people to ever go to Ians and not like it.,0,yelp,16,im probably one people ever go ians like,8,im probably one people ever go ians like
It even has its sweet moments.  ,1,imdb,6,even sweet moments,3,even sweet moments
This film has no redeeming features.  ,0,imdb,6,film redeeming features,3,film redeeming features
Awsome Device Works Great!!.,1,amazon,4,awsome device works great,4,awsome device works great
"Audio Quality is poor, very poor.",0,amazon,6,audio quality poor poor,4,audio quality poor poor
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amazon,24,need least 3 mins get phone book time first turn phonebattery life short,13,need least 3 mins get phone book time first turn phonebattery life short
Weird vibe from owners.,0,yelp,4,weird vibe owners,3,weird vibe owners
Check it out.,1,yelp,3,check,1,check
Sprint - terrible customer service.,0,amazon,5,sprint terrible customer service,4,sprint terrible customer service
"The soundtrack wasn't terrible, either.  ",1,imdb,5,soundtrack wasnt terrible either,4,soundtrack wasnt terrible either
"Good case, Excellent value.",1,amazon,4,good case excellent value,4,good case excellent value
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,yelp,16,lordy khao soi dish missed curry lovers,7,lordy khao soi dish missed curry lovers
Food was average at best.,0,yelp,5,food average best,3,food average best
It would take too long to describe how bad my customer service experience has been with Amazon.,0,amazon,17,would take long describe bad customer service experience amazon,9,would take long describe bad customer service experience amazon
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,amazon,26,software great job could also make ringtones form existing cds without internet connection,13,software great job could also make ringtones form existing cds without internet connection
"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",0,imdb,20,warn youdo rent movie dumbest thing never seen,8,warn youdo rent movie dumbest thing never seen
the potatoes were great and so was the biscuit.,1,yelp,9,potatoes great biscuit,3,potatoes great biscuit
Everything is appalling.  ,0,imdb,3,everything appalling,2,everything appalling
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1,imdb,32,dont yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser 1928,17,dont yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser 1928
Easy to use.,1,amazon,3,easy use,2,easy use
"Same evening, him and I are both drastically sick.",0,yelp,9,evening drastically sick,3,evening drastically sick
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0,imdb,25,probably would better director hadnt spent movie showcasing art work really isnt noteworthy,13,probably would better director hadnt spent movie showcasing art work really isnt noteworthy
"Overall, I like there food and the service.",1,yelp,8,overall like food service,4,overall like food service
"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1,imdb,11,true shakespear must shakespear fans,5,true shakespear must shakespear fans
The phone can also take great pictures and even video clips.,1,amazon,11,phone also take great pictures even video clips,8,phone also take great pictures even video clips
Really bad.  ,0,imdb,2,really bad,2,really bad
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0,imdb,19,things happen characters personalities change plot twists occur real reason script calls,12,things happen characters personalities change plot twists occur real reason script calls
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,yelp,21,pan cakes everyone raving taste like sugary disaster tailored palate six year old,13,pan cakes everyone raving taste like sugary disaster tailored palate six year old
I love the fact that everything on their menu is worth it.,1,yelp,12,love fact everything menu worth,5,love fact everything menu worth
This is a disgrace.,0,yelp,4,disgrace,1,disgrace
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,amazon,18,take picture battery drops bar starts beeping letting know dieing,10,take picture battery drops bar starts beeping letting know dieing
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1,amazon,14,recommend igo anyone different brand cell phonesmp3 players family,9,recommend igo anyone different brand cell phonesmp3 players family
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1,imdb,20,conceptually show offers little bit everything everybody parents kids fantasy andor fx fans,13,conceptually show offers little bit everything everybody parents kids fantasy andor fx fans
Poor Reliability.,0,amazon,2,poor reliability,2,poor reliability
Absolutel junk.,0,amazon,2,absolutel junk,2,absolutel junk
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1,imdb,35,jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcocks black white lowbudget original,21,jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcocks black white lowbudget original
This place is horrible and way overpriced.,0,yelp,7,place horrible way overpriced,4,place horrible way overpriced
I can assure you that you won't be disappointed.,1,yelp,9,assure wont disappointed,3,assure wont disappointed
I can't use this case because the smell is disgusting.,0,amazon,10,cant use case smell disgusting,5,cant use case smell disgusting
This is one of the best movies out there that shows such strong sibling bond for each other.  ,1,imdb,18,one best movies shows strong sibling bond,7,one best movies shows strong sibling bond
This phone might well be the worst I've ever had in any brand.,0,amazon,13,phone might well worst ive ever brand,7,phone might well worst ive ever brand
Extremely Tasty!,1,yelp,2,extremely tasty,2,extremely tasty
"Then, there's the plot holes.  ",0,imdb,5,theres plot holes,3,theres plot holes
That was funny.  ,1,imdb,3,funny,1,funny
"Wow, what a bad film.  ",0,imdb,5,wow bad film,3,wow bad film
But then they came back cold.,0,yelp,6,came back cold,3,came back cold
The text messaging feature is really tricky to use.,0,amazon,9,text messaging feature really tricky use,6,text messaging feature really tricky use
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0,imdb,20,cant see movie inspiration anyone come overcome fear rejection,9,cant see movie inspiration anyone come overcome fear rejection
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,amazon,13,however keypads tinny sometimes reach wrong buttons,7,however keypads tinny sometimes reach wrong buttons
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,amazon,22,verizon lg phone work well together good reception range exceeds 20 feet line sight,14,verizon lg phone work well together good reception range exceeds 20 feet line sight
The waiter wasn't helpful or friendly and rarely checked on us.,0,yelp,11,waiter wasnt helpful friendly rarely checked us,7,waiter wasnt helpful friendly rarely checked us
much better than the hard plastic cases.,1,amazon,7,much better hard plastic cases,5,much better hard plastic cases
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,imdb,16,right case movie delivers everything almost right face,8,right case movie delivers everything almost right face
There was a warm feeling with the service and I felt like their guest for a special treat.,1,yelp,18,warm feeling service felt like guest special treat,8,warm feeling service felt like guest special treat
Just don't know why they were so slow.,0,yelp,8,dont know slow,3,dont know slow
Total brunch fail.,0,yelp,3,total brunch fail,3,total brunch fail
