sentence,clean_sentence,label,source,length,clean_length
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,ive owned phone 7 months say best mobile phone ive,1,amazon,19,10
I didn't think that the instructions provided were helpful to me.,didnt think instructions provided helpful,0,amazon,11,5
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,people couldnt hear talk pull earphone talk phone,0,amazon,18,8
Doesn't hold charge.,doesnt hold charge,0,amazon,3,3
"This is a simple little phone to use, but the breakage is unacceptible.",simple little phone use breakage unacceptible,0,amazon,13,6
This product is ideal for people like me whose ears are very sensitive.,product ideal people like whose ears sensitive,1,amazon,13,7
It is unusable in a moving car at freeway speed.,unusable moving car freeway speed,0,amazon,10,5
I have two more years left in this contract and I hate this phone.,two years left contract hate phone,0,amazon,14,6
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,car charger well ac charger included make sure never run juicehighy recommended,1,amazon,19,12
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,need least 3 mins get phone book time first turn phonebattery life short,0,amazon,24,13
It has kept up very well.,kept well,1,amazon,6,2
Poor Talk Time Performance.,poor talk time performance,0,amazon,4,4
The case is great and works fine with the 680.,case great works fine 680,1,amazon,10,5
worthless product.,worthless product,0,amazon,2,2
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",great camera thats 2mp pics nice clear great picture quality,1,amazon,18,10
I was not impressed by this product.,impressed product,0,amazon,7,2
Nice headset priced right.,nice headset priced right,1,amazon,4,4
I only hear garbage for audio.,hear garbage audio,0,amazon,6,3
Excellent bluetooth headset.,excellent bluetooth headset,1,amazon,3,3
It has all the features I want,features want,1,amazon,7,2
Who in their right mind is gonna buy this battery?.,right mind gonna buy battery,0,amazon,10,5
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,arguing verizon regarding dropped calls returned phones two days,0,amazon,15,9
This case seems well made.,case seems well made,1,amazon,5,4
Disappointed with battery.,disappointed battery,0,amazon,3,2
Not loud enough and doesn't turn on like it should.,loud enough doesnt turn like,0,amazon,10,5
good protection and does not make phone too bulky.,good protection make phone bulky,1,amazon,9,5
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,usable keyboard actually turns pda realworld useful machine instead neat gadget,1,amazon,18,11
This phone is pretty sturdy and I've never had any large problems with it.,phone pretty sturdy ive never large problems,1,amazon,14,7
I love this thing!,love thing,1,amazon,4,2
Everything about it is fine and reasonable for the price i.e.,everything fine reasonable price ie,1,amazon,11,5
VERY DISAPPOINTED.,disappointed,0,amazon,2,1
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,even dropped phone stream submerged 15 seconds still works great,1,amazon,20,10
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,happy 510 complaints one regarding sound quality end,1,amazon,23,8
The buttons for on and off are bad.,buttons bad,0,amazon,8,2
Essentially you can forget Microsoft's tech support.,essentially forget microsofts tech support,0,amazon,7,5
"I really recommend this faceplates since it looks very nice, elegant and cool.",really recommend faceplates since looks nice elegant cool,1,amazon,13,8
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,headphones great find think perhaps best purchase ive made last several years seriously,1,amazon,25,13
Buy a different phone - but not this.,buy different phone,0,amazon,8,3
You have to hold the phone at a particular angle for the other party to hear you clearly.,hold phone particular angle party hear clearly,0,amazon,18,7
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds,0,amazon,30,15
"A week later after I activated it, it suddenly died.",week later activated suddenly died,0,amazon,10,5
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,feels comfortable headsets wear glasses gets way sometimes,1,amazon,18,8
Great for iPODs too.,great ipods,1,amazon,4,2
This device is great in several situations:1.),device great several situations1,1,amazon,7,4
Mic Doesn't work.,mic doesnt work,0,amazon,3,3
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",even bmw 3 series fairly quiet trouble hearing person saying,0,amazon,20,10
Great choice!,great choice,1,amazon,2,2
Nice docking station for home or work.,nice docking station home work,1,amazon,7,5
This is a beautiful phone.,beautiful phone,1,amazon,5,2
Love this product.,love product,1,amazon,3,2
Do Not Buy for D807...wrongly advertised for D807.,buy d807wrongly advertised d807,0,amazon,8,4
This is a great little item.,great little item,1,amazon,6,3
"I love this phone , It is very handy and has a lot of features .",love phone handy lot features,1,amazon,16,5
I purchased this and within 2 days it was no longer working!!!!!!!!!,purchased within 2 days longer working,0,amazon,12,6
I wear it everyday and it holds up very well.,wear everyday holds well,1,amazon,10,4
Not a good bargain.,good bargain,0,amazon,4,2
"Well packaged, arrived on time, and works as intended.",well packaged arrived time works intended,1,amazon,9,6
The battery runs down quickly.,battery runs quickly,0,amazon,5,3
"This item worked great, but it broke after 6 months of use.",item worked great broke 6 months use,0,amazon,12,7
The headsets are easy to use and everyone loves them.,headsets easy use everyone loves,1,amazon,10,5
This phone works great.,phone works great,1,amazon,4,3
The construction of the headsets is poor.,construction headsets poor,0,amazon,7,3
Product was excellent and works better than the verizon one and Boy was it cheaper!,product excellent works better verizon one boy cheaper,1,amazon,15,8
The phone loads super!,phone loads super,1,amazon,4,3
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",product costs much one expect work far better greater ease thing,0,amazon,26,11
Made very sturdy.,made sturdy,1,amazon,3,2
Worked great!.,worked great,1,amazon,2,2
The ear buds only play music in one ear.,ear buds play music one ear,0,amazon,9,6
Dont waste your money...,dont waste money,0,amazon,4,3
Will order from them again!,order,1,amazon,5,1
If you plan to use this in a car forget about it.,plan use car forget,0,amazon,12,4
I found this product to be waaay too big.,found product waaay big,0,amazon,9,4
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,best ive found far ive tried 2 bluetooths one best quality listener well ease using,1,amazon,30,15
I'm very disappointed with my decision.,im disappointed decision,0,amazon,6,3
Integrated seamlessly with the Motorola RAZR phone.,integrated seamlessly motorola razr phone,1,amazon,7,5
"Buyer Beware, you could flush money right down the toilet.",buyer beware could flush money right toilet,0,amazon,10,7
Definitely a bargain.,definitely bargain,1,amazon,3,2
The price was very good and with the free shipping and all it was a good purchase.,price good free shipping good purchase,1,amazon,17,6
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,received supposedly new motorola 375 apparently match phone charger,0,amazon,20,9
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",prosgood camera nice pictures also cool styles like black white,1,amazon,17,10
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",thats huge design flaw unless im using correctly dont think case,0,amazon,18,11
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,1,amazon,24,13
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",camera although rated impressive 13 megapixels renders images fall well expectations relatively high resolution,0,amazon,22,14
I purcashed this for the car charger and it does not work.,purcashed car charger work,0,amazon,12,4
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",sound quality end excellent use headset call wife ask wife use headset call 2,1,amazon,25,14
This phone is slim and light and the display is beautiful.,phone slim light display beautiful,1,amazon,11,5
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1,amazon,28,16
"Great product, fast shipping!.",great product fast shipping,1,amazon,4,4
Absolutely great.,absolutely great,1,amazon,2,2
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,keyboard nice compromise full qwerty basic cell phone number keypad,1,amazon,17,10
i got this phone around the end of may and i'm completely unhappy with it.,got phone around end may im completely unhappy,0,amazon,15,8
It is very comfortable on the ear.,comfortable ear,1,amazon,7,2
It has been a winner for us.,winner us,1,amazon,7,2
)Setup couldn't have been simpler.,setup couldnt simpler,1,amazon,5,3
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,1,amazon,24,16
Could not get strong enough signal.,could get strong enough signal,0,amazon,6,5
Iam very pleased with my purchase.,iam pleased purchase,1,amazon,6,3
Bad Quality.,bad quality,0,amazon,2,2
Gets the job done.,gets job done,1,amazon,4,3
Great audio!.,great audio,1,amazon,2,2
Basically the service was very bad.,basically service bad,0,amazon,6,3
it did not work in my cell phone plug i am very up set with the charger!.,work cell phone plug set charger,0,amazon,17,6
"I've only had my bluetooth for a few weeks, but I really like it.",ive bluetooth weeks really like,1,amazon,14,5
The BT headset was such a disapoinment.,bt headset disapoinment,0,amazon,7,3
It is so small and you don't even realize that it is there after a while of getting used to it.,small dont even realize getting used,1,amazon,21,6
The accompanied software is almost brilliant.,accompanied software almost brilliant,1,amazon,6,4
Headset works great & was packaged nicely to avoid any damage.,headset works great packaged nicely avoid damage,1,amazon,11,7
!I definitly recommend!!,definitly recommend,1,amazon,3,2
Buyer--Be Very Careful!!!!!.,buyerbe careful,0,amazon,3,2
The majority of the Logitech earbud headsets failed.,majority logitech earbud headsets failed,0,amazon,8,5
Very good stuff for the price.,good stuff price,1,amazon,6,3
My headset works just peachy-keen.,headset works peachykeen,1,amazon,5,3
In my house I was getting dropped coverage upstairs and no coverage in my basement.,house getting dropped coverage upstairs coverage basement,0,amazon,15,7
Voice recognition is tremendous!,voice recognition tremendous,1,amazon,4,3
What a waste.,waste,0,amazon,3,1
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",several different 2 minute calls experienced 5 drops area 5 bars,0,amazon,20,11
I was not happy with this item.,happy item,0,amazon,7,2
very disappointed.,disappointed,0,amazon,2,1
The phone takes FOREVER to charge like 2 to 5 hours literally.,phone takes forever charge like 2 5 hours literally,0,amazon,12,9
I got this phone on reccomendation from a relative and I'm glad I did.,got phone reccomendation relative im glad,1,amazon,14,6
What a waste of time!,waste time,0,amazon,5,2
Its reception is very very poor.,reception poor,0,amazon,6,2
Items stated as included from the description ARE NOT INCLUDED.,items stated included description included,0,amazon,10,5
"After 3 months, screen just went black all of a sudden.",3 months screen went black sudden,0,amazon,11,6
I Was Hoping for More.,hoping,0,amazon,5,1
"Audio Quality is poor, very poor.",audio quality poor poor,0,amazon,6,4
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,absolutely problem headset linking 8530 blackberry curve,1,amazon,14,7
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,1,amazon,21,13
I've bought $5 wired headphones that sound better than these.,ive bought 5 wired headphones sound better,0,amazon,10,7
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,phone fast sending kind messages web browsing significantly faster previous phones used,1,amazon,23,12
"Nice quality build, unlike some cheap s*** out there.",nice quality build unlike cheap,1,amazon,9,5
This item is fantastic and works perfectly!,item fantastic works perfectly,1,amazon,7,4
And I just love the colors!,love colors,1,amazon,6,2
W810i is just SUPERB.,w810i superb,1,amazon,4,2
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",whine internet goesthe use thing less like,0,amazon,23,7
Great charger.,great charger,1,amazon,2,2
This is essentially a communications tool that does not communicate.,essentially communications tool communicate,0,amazon,10,4
Works like a charm; it work the same as the one I got with the phone.,works like charm work one got phone,1,amazon,16,7
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,0,amazon,22,14
Great Value.,great value,1,amazon,2,2
Doesn't work at all.. I bougth it for my L7c and its not working.,doesnt work bougth l7c working,0,amazon,14,5
"The look of it is very sharp and the screen is nice and clear, with great graphics.",look sharp screen nice clear great graphics,1,amazon,17,7
doesn't last long.,doesnt last long,0,amazon,3,3
One thing I hate is the mode set button at the side.,one thing hate mode set button side,0,amazon,12,7
EXCELLENT SERVICE!!!!!!!!.,excellent service,1,amazon,2,2
Thank you for wasting my money.,thank wasting money,0,amazon,6,3
How can that be?The audio quality is poor.,bethe audio quality poor,0,amazon,8,4
The iGo chargers and tips are really great.,igo chargers tips really great,1,amazon,8,5
The file browser offers all the options that one needs.Handsfree is great.,file browser offers options one needshandsfree great,1,amazon,12,7
Superb Phone on a Great Network.,superb phone great network,1,amazon,6,4
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case,1,amazon,25,12
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",put latest os v115g likes slow crawl lock every,0,amazon,25,9
It only recognizes the Phone as its storage device.,recognizes phone storage device,0,amazon,9,4
"If you like a loud buzzing to override all your conversations, then this phone is for you!",like loud buzzing override conversations phone,0,amazon,17,6
Don't buy this product.,dont buy product,0,amazon,4,3
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,ive bluetoooth headset time still comfortable way fits ear,0,amazon,21,9
The sound quality is good and functionality is awesome.,sound quality good functionality awesome,1,amazon,9,5
"I have this phone and it is a thorn in my side, I really abhor it.",phone thorn side really abhor,0,amazon,16,5
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,recently problems could stay connected 10 minutes disconnected,0,amazon,18,8
Incredible!.,incredible,1,amazon,1,1
Design Flaw?.,design flaw,0,amazon,2,2
Great phone!.,great phone,1,amazon,2,2
Waste of 13 bucks.,waste 13 bucks,0,amazon,4,3
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",check voice mail night keypad backlight turns seconds first message im lost,0,amazon,24,12
The replacement died in a few weeks.,replacement died weeks,0,amazon,7,3
Any ring tone..Overall good phone to buy..,ring toneoverall good phone buy,1,amazon,7,5
Lately they have been extremely nice and helpful on the phone.,lately extremely nice helpful phone,1,amazon,11,5
I have had problems wit hit dropping signal and more.,problems wit hit dropping signal,0,amazon,10,5
Not impressed.,impressed,0,amazon,2,1
"Light weight, I hardly notice it is there.",light weight hardly notice,1,amazon,8,4
You'll love how thin it is.,youll love thin,1,amazon,6,3
Bad Choice.,bad choice,0,amazon,2,2
The pleather case doesn't fit.,pleather case doesnt fit,0,amazon,5,4
"useless phone, simply deaf.",useless phone simply deaf,0,amazon,4,4
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",color even prettier thought would graphics incredibly sharp,1,amazon,17,8
All in all I think it was a good investment.,think good investment,1,amazon,10,3
It makes very strange ticking noises before it ends the call.,makes strange ticking noises ends call,0,amazon,11,6
The best electronics of the available FM Transmitters.,best electronics available fm transmitters,1,amazon,8,5
Battery lasts only a few hours.,battery lasts hours,0,amazon,6,3
"great headset, very impressed - H500.",great headset impressed h500,1,amazon,6,4
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",12 mega pixel camera part phone reasonably good7,1,amazon,14,8
I've had this for nearly 2 years and it has worked great for me.,ive nearly 2 years worked great,1,amazon,14,6
Good transmit audio.,good transmit audio,1,amazon,3,3
We are sending it back.,sending back,0,amazon,5,2
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,bother contacting company dollar product learned lesson bought form online anyway,0,amazon,26,11
"If you hate earbugs, avoid this phone by all means.",hate earbugs avoid phone means,0,amazon,10,5
Great price also!,great price also,1,amazon,3,3
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",range decent ive able roam around house phone living room receptionsound quality issues,1,amazon,25,13
fast service.,fast service,1,amazon,2,2
I would highly recommend this.,would highly recommend,1,amazon,5,3
I would recommend this.,would recommend,1,amazon,4,2
"I also didn't like the ""on"" button, it felt like it would crack with use.",also didnt like button felt like would crack use,0,amazon,15,9
WORST PHONE EVER.,worst phone ever,0,amazon,3,3
I'm still infatuated with this phone.,im still infatuated phone,1,amazon,6,4
Freezes frequently4.,freezes frequently4,0,amazon,2,2
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,kind embarrassing use looks mostly embarrassing childlike company,0,amazon,20,8
"Simple, lightweight and great fit.",simple lightweight great fit,1,amazon,5,4
"All in all, I'd expected a better consumer experience from Motorola.",id expected better consumer experience motorola,0,amazon,11,6
There's a horrible tick sound in the background on all my calls that I have never experienced before.,theres horrible tick sound background calls never experienced,0,amazon,18,8
These are certainly very comfortable and functionality is decent.,certainly comfortable functionality decent,1,amazon,9,4
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,usually dont like headbands one lightweight doesnt mess hair,1,amazon,17,9
I'm a bit disappointed.,im bit disappointed,0,amazon,4,3
"I have had this phone for over a year now, and I will tell you, its not that great.",phone year tell great,0,amazon,19,4
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,ordered sony ericsson w810i think worked thats first used,0,amazon,20,9
The battery is completely useless to me.,battery completely useless,0,amazon,7,3
What a big waste of time.,big waste time,0,amazon,6,3
Don't waste your $$$ on this one.,dont waste one,0,amazon,7,3
Great sound and service.,great sound service,1,amazon,4,3
Really pleased with this product so far.,really pleased product far,1,amazon,7,4
One of my favorite purchases ever.,one favorite purchases ever,1,amazon,6,4
best bluetooth on the market.,best bluetooth market,1,amazon,5,3
Authentic leather with nice shine and comfort .I recommend you this case !!,authentic leather nice shine comfort recommend case,1,amazon,13,7
I was very excited to get this headset because I thought it was really cute.,excited get headset thought really cute,1,amazon,15,6
Do not make the same mistake as me.,make mistake,0,amazon,8,2
Big Disappointment with calendar sync.,big disappointment calendar sync,0,amazon,5,4
the phone was unusable and was not new.,phone unusable new,0,amazon,8,3
Worst Customer Service Ever.,worst customer service ever,0,amazon,4,4
"No additional ear gels provided, and no instructions whatsoever.",additional ear gels provided instructions whatsoever,0,amazon,9,6
It defeats the purpose of a bluetooth headset.,defeats purpose bluetooth headset,0,amazon,8,4
Worth every penny.,worth every penny,1,amazon,3,3
Excellent wallet type phone case.,excellent wallet type phone case,1,amazon,5,5
Nice headphones for the price and they work great!,nice headphones price work great,1,amazon,9,5
Internet is excrutiatingly slow.,internet excrutiatingly slow,0,amazon,4,3
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",comfortable wear well probably important aspect using case,1,amazon,19,8
"It's fits like a glove and is strong, secure, and durable.",fits like glove strong secure durable,1,amazon,11,6
O my gosh the best phone I have ever had.,gosh best phone ever,1,amazon,10,4
It's very attractive and appears to be of good quality.,attractive appears good quality,1,amazon,10,4
I love all the features and form factor.,love features form factor,1,amazon,8,4
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,product strong rubberpetroleum smell unbearable caused return,0,amazon,19,7
poor quality and service.,poor quality service,0,amazon,4,3
"The cable looks so thin and flimsy, it is scary.",cable looks thin flimsy scary,0,amazon,10,5
Great Earpiece.,great earpiece,1,amazon,2,2
Excellent hands free tool.,excellent hands free tool,1,amazon,4,4
Great for using with your home stereo.,great using home stereo,1,amazon,7,4
Good product - incredible value.,good product incredible value,1,amazon,5,4
Only had this a month but it's worked flawlessly so far.,month worked flawlessly far,1,amazon,11,4
Works great.,works great,1,amazon,2,2
Absolutel junk.,absolutel junk,0,amazon,2,2
THAT one didn't work either.,one didnt work either,0,amazon,5,4
Battery life is real good.,battery life real good,1,amazon,5,4
Returned 8 hours later.,returned 8 hours later,0,amazon,4,4
It's a great item.,great item,1,amazon,4,2
Don't waste your money!.,dont waste money,0,amazon,4,3
Love this headset!,love headset,1,amazon,3,2
"Not only will it drain your player, but may also potentially fry it.",drain player may also potentially fry,0,amazon,13,6
Worked perfectly!,worked perfectly,1,amazon,2,2
Unreliable - I'm giving up.,unreliable im giving,0,amazon,5,3
I gave it 5 stars because of the sound quality.,gave 5 stars sound quality,1,amazon,10,5
Avoid this one if you can.,avoid one,0,amazon,6,2
Reversible plug works great.,reversible plug works great,1,amazon,4,4
I wasted my little money with this earpiece.,wasted little money earpiece,0,amazon,8,4
Very good phone.,good phone,1,amazon,3,2
"Best of all is the rotating feature, very helpful.",best rotating feature helpful,1,amazon,9,4
Comfort for our whole family.,comfort whole family,1,amazon,5,3
"Good product, good seller.",good product good seller,1,amazon,4,4
I love this bluetooth!,love bluetooth,1,amazon,4,2
"First of all, it doesn't wear well.",first doesnt wear well,0,amazon,7,4
I am very impressed with this headset from Plantronics.,impressed headset plantronics,1,amazon,9,3
I got it because it was so small and adorable.,got small adorable,1,amazon,10,3
Great phone!.,great phone,1,amazon,2,2
I wouldn't recommend buying this product.,wouldnt recommend buying product,0,amazon,6,4
Piece of Junk.,piece junk,0,amazon,3,2
Poorly contstruct hinge.,poorly contstruct hinge,0,amazon,3,3
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",item great installed let charged overnite working good every since problems,1,amazon,22,11
Great Phone.,great phone,1,amazon,2,2
Don't buy it.,dont buy,0,amazon,3,2
Excellent Phone.,excellent phone,1,amazon,2,2
DO NOT PURCHASE THIS PHONE.,purchase phone,0,amazon,5,2
The voice recognition thru the handset is excellent.,voice recognition thru handset excellent,1,amazon,8,5
This is hands down the best phone I've ever had.,hands best phone ive ever,1,amazon,10,5
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",works great cat attacked phone scratched protective strip instead destroying screen,1,amazon,18,11
This one works and was priced right.,one works priced right,1,amazon,7,4
Customer service was terrible.,customer service terrible,0,amazon,4,3
Battery life still not long enough in Motorola Razor V3i.,battery life still long enough motorola razor v3i,0,amazon,10,8
Sending it back.,sending back,0,amazon,3,2
Now I know that I made a wise decision.,know made wise decision,1,amazon,9,4
Someone shouldve invented this sooner.,someone shouldve invented sooner,1,amazon,5,4
Good price.,good price,1,amazon,2,2
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,everything worked first trythe device certainly engineered clever way construction feels good,1,amazon,19,12
I received it quickly and it works great!!,received quickly works great,1,amazon,8,4
Has been working great.,working great,1,amazon,4,2
"As many people complained, I found this headset's microphone was very weak.",many people complained found headsets microphone weak,0,amazon,12,7
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,5year old nokia 2160 tracfone holds charge lot better,0,amazon,15,9
They do not care about the consumer one bit.,care consumer one bit,0,amazon,9,4
"This is a good battery, and it got here really fast.",good battery got really fast,1,amazon,11,5
The instruction manual is lacking.,instruction manual lacking,0,amazon,5,3
Also its slim enough to fit into my alarm clock docking station without removing the case.,also slim enough fit alarm clock docking station without removing case,1,amazon,16,11
Phone now holds charge like it did when it was new.,phone holds charge like new,1,amazon,11,5
The battery is unreliable as well as the service use antena.,battery unreliable well service use antena,0,amazon,11,6
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0,amazon,25,13
We have gotten a lot of compliments on it.,gotten lot compliments,1,amazon,9,3
This is definitely a must have if your state does not allow cell phone usage while driving.,definitely must state allow cell phone usage driving,1,amazon,17,8
I want my money back.,want money back,0,amazon,5,3
I love this device.,love device,1,amazon,4,2
I am also very happy with the price.,also happy price,1,amazon,8,3
I ordered this product first and was unhappy with it immediately.,ordered product first unhappy immediately,0,amazon,11,5
The Ngage is still lacking in earbuds.,ngage still lacking earbuds,0,amazon,7,4
I was able to do voice dialing in the car with no problem.,able voice dialing car problem,1,amazon,13,5
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",23 bars cell phone home cant hear anything,0,amazon,18,8
"good item, low price.",good item low price,1,amazon,4,4
"However-the riingtones are not the best, and neither are the games.",howeverthe riingtones best neither games,0,amazon,11,5
The plug did not work very well.,plug work well,0,amazon,7,3
AMAZON SUCKS.,amazon sucks,0,amazon,2,2
Rip off---- Over charge shipping.,rip charge shipping,0,amazon,5,3
VERY comfortable.,comfortable,1,amazon,2,1
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,battery working well replacement original came phone 2 years ago,1,amazon,20,10
The reception is excellent!,reception excellent,1,amazon,4,2
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",fits comfortably either ear sound clear loud charge lasts couple days,1,amazon,20,11
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",clear quality sound dont mess sound ipod since sound buttons headset,1,amazon,25,11
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,1 long lasting battery dont recharge frequentyly flip phones2,0,amazon,18,9
Obviously there is a problem with the adhesive.,obviously problem adhesive,0,amazon,8,3
Very disappointing.,disappointing,0,amazon,2,1
"It was an inexpensive piece, but I would still have expected better quality.",inexpensive piece would still expected better quality,0,amazon,13,7
It is practically useless and did not add any kind of boost to my reception after I bought it.,practically useless add kind boost reception bought,0,amazon,19,7
Excellent sound quality.,excellent sound quality,1,amazon,3,3
Was not happy.,happy,0,amazon,3,1
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,piece junk broke phone 2 days,0,amazon,14,6
New Battery works great in phone.,new battery works great phone,1,amazon,6,5
Worst customer service.,worst customer service,0,amazon,3,3
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",ive dropped phone times say even concrete phone still great knock wood,1,amazon,22,12
Reception is terrible and full of static.,reception terrible full static,0,amazon,7,4
Good audio quality.,good audio quality,1,amazon,3,3
This little device has transformed my organizational capability and made my life a whole lot easier.,little device transformed organizational capability made life whole lot easier,1,amazon,16,10
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",sitting vehicle cradle belt headset lost signal,0,amazon,17,7
